id,split,group,difficulty,raw_text,normalized_text,expected_amount,predicted_amount,amount_correct,expected_type,predicted_type,type_correct,expected_category,predicted_category,category_correct,expected_wallet,predicted_wallet,wallet_correct,expected_note,predicted_note,note_correct,expected_currency,predicted_currency,currency_correct,exact_match,predicted_json
VX-SU-000010,test,expense_basic,easy,isuk tadi balanja balanja bulanan Rp400.000,isuk tadi balanja balanja bulanan 400000,400000,400000,True,expense,expense,True,Belanja,Belanja,True,,,True,balanja bulanan,balanja,True,IDR,IDR,True,True,"{""amount"": 400000, ""type"": ""expense"", ""category"": ""Belanja"", ""wallet"": null, ""note"": ""balanja"", ""currency"": ""IDR"", ""confidence"": 0.7}"
VX-SU-000020,test,expense_basic,easy,poé ieu mésér és téh sakitar dalapan rébu,poé ieu mésér és téh sakitar 8000,8000,8000,True,expense,expense,True,Makan & Minum,Makan & Minum,True,,,True,és téh,téh,True,IDR,IDR,True,True,"{""amount"": 8000, ""type"": ""expense"", ""category"": ""Makan & Minum"", ""wallet"": null, ""note"": ""téh"", ""currency"": ""IDR"", ""confidence"": 0.7}"
VX-SU-000030,test,expense_basic,easy,kamari mayar 5000 keur parkir motor,kamari mayar 5000 keur parkir motor,5000,5000,True,expense,expense,True,Transportasi,Transportasi,True,,,True,parkir motor,parkir,True,IDR,IDR,True,True,"{""amount"": 5000, ""type"": ""expense"", ""category"": ""Transportasi"", ""wallet"": null, ""note"": ""parkir"", ""currency"": ""IDR"", ""confidence"": 0.7}"
VX-SU-000040,test,expense_basic,easy,urang balanja bulanan Rp400.000,urang balanja bulanan 400000,400000,400000,True,expense,expense,True,Belanja,Belanja,True,,,True,balanja bulanan,balanja,True,IDR,IDR,True,True,"{""amount"": 400000, ""type"": ""expense"", ""category"": ""Belanja"", ""wallet"": null, ""note"": ""balanja"", ""currency"": ""IDR"", ""confidence"": 0.7}"
VX-SU-000050,test,expense_basic,easy,urang mayar langganan aplikasi sakitar tujuh puluh lima rebu,urang mayar langganan aplikasi sakitar 75000,75000,75000,True,expense,expense,True,Tagihan & Utilitas,Tagihan & Utilitas,True,,,True,langganan aplikasi,langganan,True,IDR,IDR,True,True,"{""amount"": 75000, ""type"": ""expense"", ""category"": ""Tagihan & Utilitas"", ""wallet"": null, ""note"": ""langganan"", ""currency"": ""IDR"", ""confidence"": 0.7}"
VX-SU-000060,test,expense_basic,easy,peuting tadi mayar cai sakitar 75rb,peuting tadi mayar cai sakitar 75000,75000,75000,True,expense,expense,True,Tagihan & Utilitas,Tagihan & Utilitas,True,,,True,tagihan cai,cai,True,IDR,IDR,True,True,"{""amount"": 75000, ""type"": ""expense"", ""category"": ""Tagihan & Utilitas"", ""wallet"": null, ""note"": ""cai"", ""currency"": ""IDR"", ""confidence"": 0.7}"
VX-SU-000070,test,expense_basic,easy,peuting tadi seblak Rp12.000,peuting tadi seblak 12000,12000,12000,True,expense,,False,Makan & Minum,Makan & Minum,True,,,True,seblak,seblak,True,IDR,IDR,True,False,"{""amount"": 12000, ""type"": null, ""category"": ""Makan & Minum"", ""wallet"": null, ""note"": ""seblak"", ""currency"": ""IDR"", ""confidence"": 0.7}"
VX-SU-000080,test,expense_basic,easy,poé ieu balanja dua ratus lima puluh rebu keur balanja bulanan,poé ieu balanja 250000 keur balanja bulanan,250000,250000,True,expense,expense,True,Belanja,Belanja,True,,,True,balanja bulanan,balanja,True,IDR,IDR,True,True,"{""amount"": 250000, ""type"": ""expense"", ""category"": ""Belanja"", ""wallet"": null, ""note"": ""balanja"", ""currency"": ""IDR"", ""confidence"": 0.7}"
VX-SU-000090,test,expense_basic,easy,kuring karaoke 50rb,kuring karaoke 50000,50000,50000,True,expense,,False,Hiburan,Hiburan,True,,,True,karaoke,karaoke,True,IDR,IDR,True,False,"{""amount"": 50000, ""type"": null, ""category"": ""Hiburan"", ""wallet"": null, ""note"": ""karaoke"", ""currency"": ""IDR"", ""confidence"": 0.7}"
VX-SU-000100,test,expense_basic,easy,abdi mésér hayam géprék sakitar Rp15.000,abdi mésér hayam géprék sakitar 15000,15000,15000,True,expense,expense,True,Makan & Minum,Makan & Minum,True,,,True,hayam géprék,hayam,True,IDR,IDR,True,True,"{""amount"": 15000, ""type"": ""expense"", ""category"": ""Makan & Minum"", ""wallet"": null, ""note"": ""hayam"", ""currency"": ""IDR"", ""confidence"": 0.7}"
