id,split,group,case_type,language_style,difficulty,raw_text,normalized_text,amount,type,category,wallet,note,currency
VX-SU-000001,train,expense_basic,expense_basic,su,easy,poé ieu meuli kuota internét sakitar tujuh puluh lima rébu,poé ieu meuli kuota internét sakitar 75000,75000,expense,Tagihan & Utilitas,,kuota internét,IDR
VX-SU-000002,train,expense_basic,expense_basic,su,easy,abdi mayar saratus rébu keur dokter,abdi mayar 100000 keur dokter,100000,expense,Kesehatan,,dokter,IDR
VX-SU-000003,train,expense_basic,expense_basic,su,easy,meuli dua belas rebu keur roti,meuli 12000 keur roti,12000,expense,Makan & Minum,,roti,IDR
VX-SU-000004,train,expense_basic,expense_basic,su,easy,urang meuli bensin sakitar 30rb,urang meuli bensin sakitar 30000,30000,expense,Transportasi,,bensin,IDR
VX-SU-000005,train,expense_basic,expense_basic,su,easy,minggu ieu bioskop 30rb,minggu ieu bioskop 30000,30000,expense,Hiburan,,bioskop,IDR
VX-SU-000006,train,expense_basic,expense_basic,su,easy,abdi cilok 5rb,abdi cilok 5000,5000,expense,Makan & Minum,,cilok,IDR
VX-SU-000007,train,expense_basic,expense_basic,su,easy,mayar kuota internét sakitar 100rb,mayar kuota internét sakitar 100000,100000,expense,Tagihan & Utilitas,,kuota internét,IDR
VX-SU-000008,train,expense_basic,expense_basic,su,easy,kamari meuli game sakitar 100rb,kamari meuli game sakitar 100000,100000,expense,Hiburan,,game,IDR
VX-SU-000009,validation,expense_basic,expense_basic,su,easy,poé ieu top up game 50rb,poé ieu top up game 50000,50000,expense,Hiburan,,game,IDR
VX-SU-000010,test,expense_basic,expense_basic,su,easy,isuk tadi balanja balanja bulanan Rp400.000,isuk tadi balanja balanja bulanan 400000,400000,expense,Belanja,,balanja bulanan,IDR
VX-SU-000011,train,expense_basic,expense_basic,su,easy,tadi mayar Rp75.000 keur langganan aplikasi,tadi mayar 75000 keur langganan aplikasi,75000,expense,Tagihan & Utilitas,,langganan aplikasi,IDR
VX-SU-000012,train,expense_basic,expense_basic,su,easy,poé ieu roti Rp15.000,poé ieu roti 15000,15000,expense,Makan & Minum,,roti,IDR
VX-SU-000013,train,expense_basic,expense_basic,su,easy,kamari apoték 25000,kamari apoték 25000,25000,expense,Kesehatan,,apoték,IDR
VX-SU-000014,train,expense_basic,expense_basic,su,easy,poé ieu ojék online lima belas rebu,poé ieu ojék online 15000,15000,expense,Transportasi,,ojék online,IDR
VX-SU-000015,train,expense_basic,expense_basic,su,easy,peuting tadi mésér lima belas rébu keur kopi,peuting tadi mésér 15000 keur kopi,15000,expense,Makan & Minum,,kopi,IDR
VX-SU-000016,train,expense_basic,expense_basic,su,easy,peuting tadi mésér lima puluh rébu keur ubar batuk,peuting tadi mésér 50000 keur ubar batuk,50000,expense,Kesehatan,,ubar batuk,IDR
VX-SU-000017,train,expense_basic,expense_basic,su,easy,kuring mayar karaoke sakitar saratus lima puluh rébu,kuring mayar karaoke sakitar 150000,150000,expense,Hiburan,,karaoke,IDR
VX-SU-000018,train,expense_basic,expense_basic,su,easy,isuk tadi meuli baju sakitar 75000,isuk tadi meuli baju sakitar 75000,75000,expense,Belanja,,baju,IDR
VX-SU-000019,validation,expense_basic,expense_basic,su,easy,abdi mayar wifi sakitar 200000,abdi mayar wifi sakitar 200000,200000,expense,Tagihan & Utilitas,,wifi,IDR
VX-SU-000020,test,expense_basic,expense_basic,su,easy,poé ieu mésér és téh sakitar dalapan rébu,poé ieu mésér és téh sakitar 8000,8000,expense,Makan & Minum,,és téh,IDR
VX-SU-000021,train,expense_basic,expense_basic,su,easy,abdi meuli kopi sakitar dua puluh lima rebu,abdi meuli kopi sakitar 25000,25000,expense,Makan & Minum,,kopi,IDR
VX-SU-000022,train,expense_basic,expense_basic,su,easy,minggu ieu mayar angkot sakitar sapuluh rebu,minggu ieu mayar angkot sakitar 10000,10000,expense,Transportasi,,angkot,IDR
VX-SU-000023,train,expense_basic,expense_basic,su,easy,kuring tiket konser 300000,kuring tiket konser 300000,300000,expense,Hiburan,,tiket konser,IDR
VX-SU-000024,train,expense_basic,expense_basic,su,easy,tadi meuli 15000 keur alat tulis,tadi meuli 15000 keur alat tulis,15000,expense,Belanja,,alat tulis,IDR
VX-SU-000025,train,expense_basic,expense_basic,su,easy,urang parkir motor sapuluh rebu,urang parkir motor 10000,10000,expense,Transportasi,,parkir motor,IDR
VX-SU-000026,train,expense_basic,expense_basic,su,easy,kuring mayar apoték dua puluh lima rébu,kuring mayar apoték 25000,25000,expense,Kesehatan,,apoték,IDR
VX-SU-000027,train,expense_basic,expense_basic,su,easy,sim kuring mayar wifi sakitar saratus lima puluh rébu,sim kuring mayar wifi sakitar 150000,150000,expense,Tagihan & Utilitas,,wifi,IDR
VX-SU-000028,train,expense_basic,expense_basic,su,easy,poé ieu kuota internét 150000,poé ieu kuota internét 150000,150000,expense,Tagihan & Utilitas,,kuota internét,IDR
VX-SU-000029,validation,expense_basic,expense_basic,su,easy,peuting tadi meuli 30000 keur masker,peuting tadi meuli 30000 keur masker,30000,expense,Kesehatan,,masker,IDR
VX-SU-000030,test,expense_basic,expense_basic,su,easy,kamari mayar 5000 keur parkir motor,kamari mayar 5000 keur parkir motor,5000,expense,Transportasi,,parkir motor,IDR
VX-SU-000031,train,expense_basic,expense_basic,su,easy,isuk tadi wifi Rp200.000,isuk tadi wifi 200000,200000,expense,Tagihan & Utilitas,,wifi,IDR
VX-SU-000032,train,expense_basic,expense_basic,su,easy,sim kuring mésér ubar batuk sakitar Rp35.000,sim kuring mésér ubar batuk sakitar 35000,35000,expense,Kesehatan,,ubar batuk,IDR
VX-SU-000033,train,expense_basic,expense_basic,su,easy,urang mayar dua puluh rebu keur tol,urang mayar 20000 keur tol,20000,expense,Transportasi,,tol,IDR
VX-SU-000034,train,expense_basic,expense_basic,su,easy,mayar angkot tujuh rebu,mayar angkot 7000,7000,expense,Transportasi,,angkot,IDR
VX-SU-000035,train,expense_basic,expense_basic,su,easy,poé ieu mayar tol lima belas rebu,poé ieu mayar tol 15000,15000,expense,Transportasi,,tol,IDR
VX-SU-000036,train,expense_basic,expense_basic,su,easy,abdi meuli 20000 keur hayam géprék,abdi meuli 20000 keur hayam géprék,20000,expense,Makan & Minum,,hayam géprék,IDR
VX-SU-000037,train,expense_basic,expense_basic,su,easy,kuring meuli baju sakitar saratus dua puluh lima rebu,kuring meuli baju sakitar 125000,125000,expense,Belanja,,baju,IDR
VX-SU-000038,train,expense_basic,expense_basic,su,easy,peuting tadi mayar Rp7.000 keur angkot,peuting tadi mayar 7000 keur angkot,7000,expense,Transportasi,,angkot,IDR
